operation	requestsize	responsesize	rfpid	service_name	custid	oid	invid	details	customerid	shipid	quoteid	payid	prizeid	catalogref	out	orderstatus	ocancelid	catalog	id
NewProductInfo	486	411	Nu	Product	Cust13	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2976
NewProductInfo	486	411	Nu	Product	Cust95	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2979
NewProductInfo	486	411	Nu	Product	Cust46	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2982
NewProductInfo	486	411	Nu	Product	Cust44	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2985
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	68	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2988
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	80	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2991
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	83	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2994
NewProductInfo	515	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	7	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	2997
NewProductInfo	486	411	Nu	Product	Cust87	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3000
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	65	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3003
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	61	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3006
NewProductInfo	486	411	Nu	Product	Cust76	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3009
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	20	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3012
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	54	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3015
NewProductInfo	486	411	Nu	Product	Cust31	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3018
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	82	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3021
NewProductInfo	486	411	Nu	Product	Cust70	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3024
NewProductInfo	486	411	Nu	Product	Cust17	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3027
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	64	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3030
NewProductInfo	486	411	Nu	Product	Cust66	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3033
NewProductInfo	486	411	Nu	Product	Cust23	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3036
NewProductInfo	486	411	Nu	Product	Cust23	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3039
NewProductInfo	485	411	Nu	Product	Cust8	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3042
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	61	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3045
NewProductInfo	486	411	Nu	Product	Cust55	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3048
NewProductInfo	486	411	Nu	Product	Cust70	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3051
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	73	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3054
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	45	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3057
NewProductInfo	486	411	Nu	Product	Cust61	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3060
NewProductInfo	486	411	Nu	Product	Cust34	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3063
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	66	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3066
NewProductInfo	486	411	Nu	Product	Cust78	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3069
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	41	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3072
NewProductInfo	486	411	Nu	Product	Cust10	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3075
NewProductInfo	486	411	Nu	Product	Cust62	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3078
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	72	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3081
NewProductInfo	486	411	Nu	Product	Cust65	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3084
NewProductInfo	486	411	Nu	Product	Cust83	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3087
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	11	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3090
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	27	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3093
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	46	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3096
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	70	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3099
NewProductInfo	486	411	Nu	Product	Cust50	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3102
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	94	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3105
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	94	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3108
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	26	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3111
NewProductInfo	485	411	Nu	Product	Cust8	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3114
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	20	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3117
NewProductInfo	486	411	Nu	Product	Cust99	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3120
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	88	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3123
NewProductInfo	486	411	Nu	Product	Cust55	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3126
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	91	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3129
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	56	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3132
RejectOrder	386	363	Nu	Ordering	Nu	O499	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	ROID:O499	Nu	2678
NewProductInfo	486	411	Nu	Product	Cust69	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3135
NewProductInfo	486	411	Nu	Product	Cust63	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3138
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	40	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3141
NewProductInfo	486	411	Nu	Product	Cust28	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3144
NewProductInfo	486	411	Nu	Product	Cust87	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3147
NewProductInfo	486	411	Nu	Product	Cust93	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3150
NewProductInfo	486	411	Nu	Product	Cust93	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3153
NewProductInfo	486	411	Nu	Product	Cust77	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3156
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	78	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3159
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	64	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3162
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	71	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3165
NewProductInfo	486	411	Nu	Product	Cust59	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3168
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	17	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3171
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	68	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3174
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	98	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3177
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	69	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3180
NewProductInfo	486	411	Nu	Product	Cust12	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3183
NewProductInfo	486	411	Nu	Product	Cust48	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3186
NewProductInfo	486	411	Nu	Product	Cust24	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3189
NewProductInfo	486	411	Nu	Product	Cust71	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3192
NewProductInfo	486	411	Nu	Product	Cust62	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3195
NewProductInfo	486	411	Nu	Product	Cust99	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3198
NewProductInfo	486	411	Nu	Product	Cust48	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3201
NewProductInfo	486	411	Nu	Product	Cust47	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3204
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	81	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3207
NewProductInfo	485	411	Nu	Product	Cust7	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3210
NewProductInfo	486	411	Nu	Product	Cust72	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3213
NewProductInfo	486	411	Nu	Product	Cust33	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3216
NewProductInfo	515	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	8	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3219
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	16	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3222
NewProductInfo	486	411	Nu	Product	Cust64	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3225
NewProductInfo	485	411	Nu	Product	Cust6	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3228
NewProductInfo	486	411	Nu	Product	Cust34	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3231
NewProductInfo	486	411	Nu	Product	Cust38	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3234
NewProductInfo	486	411	Nu	Product	Cust78	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3237
NewProductInfo	486	411	Nu	Product	Cust29	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3240
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	25	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3243
NewProductInfo	486	411	Nu	Product	Cust38	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3246
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	99	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3249
NewProductInfo	515	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	7	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3252
NewProductInfo	486	411	Nu	Product	Cust56	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3255
NewProductInfo	486	411	Nu	Product	Cust99	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3258
NewProductInfo	486	411	Nu	Product	Cust18	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3261
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	92	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3264
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	38	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3267
NewProductInfo	486	411	Nu	Product	Cust45	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3270
NewProductInfo	486	411	Nu	Product	Cust81	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3273
NewProductInfo	486	411	Nu	Product	Cust95	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3276
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	90	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3279
NewProductInfo	486	411	Nu	Product	Cust70	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3282
NewProductInfo	486	411	Nu	Product	Cust79	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3285
NewProductInfo	486	411	Nu	Product	Cust34	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3288
NewProductInfo	486	411	Nu	Product	Cust19	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3291
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	90	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3294
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	59	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3297
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	77	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3300
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	63	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3303
NewProductInfo	486	411	Nu	Product	Cust95	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3306
NewProductInfo	486	411	Nu	Product	Cust26	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3309
NewProductInfo	486	411	Nu	Product	Cust26	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3312
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	16	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3315
NewProductInfo	486	411	Nu	Product	Cust68	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3318
NewProductInfo	486	411	Nu	Product	Cust78	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3321
NewProductInfo	486	411	Nu	Product	Cust27	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3324
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	46	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3327
NewProductInfo	515	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	7	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3330
NewProductInfo	486	411	Nu	Product	Cust78	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3333
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	28	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3336
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	71	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3339
NewProductInfo	515	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	6	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3342
NewProductInfo	486	411	Nu	Product	Cust25	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3345
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	74	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3348
NewProductInfo	486	411	Nu	Product	Cust56	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3351
NewProductInfo	486	411	Nu	Product	Cust96	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3354
NewProductInfo	486	411	Nu	Product	Cust31	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3357
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	55	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3360
NewProductInfo	486	411	Nu	Product	Cust45	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3363
NewProductInfo	486	411	Nu	Product	Cust72	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3366
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	44	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3369
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	63	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3372
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	51	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3375
NewProductInfo	486	411	Nu	Product	Cust64	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3378
NewProductInfo	485	411	Nu	Product	Cust8	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3381
NewProductInfo	486	411	Nu	Product	Cust31	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3384
NewProductInfo	486	411	Nu	Product	Cust13	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3387
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	23	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3390
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	81	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3393
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	89	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3396
NewProductInfo	486	411	Nu	Product	Cust73	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3399
NewProductInfo	486	411	Nu	Product	Cust94	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3402
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	34	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3405
NewProductInfo	486	411	Nu	Product	Cust40	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3408
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	77	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3411
NewProductInfo	486	411	Nu	Product	Cust46	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3414
NewProductInfo	485	411	Nu	Product	Cust8	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3417
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	71	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3420
NewProductInfo	516	411	Nu	Product	Nu	Nu	Nu	Hereisthedetailsofnewproducts	33	Nu	Nu	Nu	Nu	Nu	InformationaboutProductisrequested	Nu	Nu	Nu	3423
